QUD	RT	item_id	cumulative_score	difficulty	answer_response	new_options	options	paragraph	question	source	startDate	startTime	trial_number	trial_type	submission_ind
Question 1/36	35028	os2_3_3_Adv	0	Adv	0	0|3|1|2	To see if oxytocin changed how their brains responded to them|To analyze which regions of their brains respond more to people versus cars |To evoke different emotions in the children|These are the most common pictures shown to people used in brain research	"""Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioral treatments, it works like a social enhancer,"" he said. The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray. The scans showed that reward circuitry in the children's brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars. The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States."	Why did the scientists have autistic children look at both people and cars?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	1	reading_comprehension	1
Question 2/36	57748	r3919_1_Middle	1	Middle	0	2|0|3|1	You may have a long life even if you are poor.|If you don't have much money, you can't get happiness.|Every year many people die because they are poor.|If you are rich, you will have real friendship.	"In today's world many people seem to be hungry for money. Some of them even have lost their lives for it. Money does have a great effect on the poor, but if a person has a rich life, a lot more money doesn't mean more happiness.\nIf money were everything, all millionaires would have true love, real friendship, health and a long life. However, this is not always true.\nNothing else is more pleasant than the three words ""I love you"", but can love be bought? I'm afraid not. Love means ""give"", not "" take"". Health and a long life are precious things for every person. Well, can health and a long life be bought with money? The answer is ""No"". Of all the people who live longest in the world, few of them are millionaires. Real friendship can't be bought, either.\nIn a word, where money is _ , money can cause brothers to quarrel, lovers to hate, strangers to fight and so on. No matter how much money you have, _ is still not enough to make you a happy person if you have no one to laugh with and no one to cry for.\n,"	Which of the following is TRUE according to the passage?	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	2	reading_comprehension	1
Question 3/36	55393	r3259_1_Middle	2	Middle	0	0|1|3|2	the unpleasant weather keeps them away|they can't get enough food there|the natural sights there don't arrract people|the length of nighttime keeps them away	You may have noticed that the world's population is not evenly distributed   around our planet. There are more countries where people seem to be living nearly _ each other because conditions are overcrowded . Then there are others where it seems that hardly anybody lives. What influences this unequal distribution of people ? There are specific advantages and disadvantages of living in a certain area.\nThe two main factors   that influence people's choice of location are climate and resources. Climate is the usual weather conditions in a region. Areas that have bad weather are generally less ideal as places to live in . The north and south poles at the top and bottom of the world may be beautiful in their rugged, natural way , but the disadvantage of the bitterly cold and windy conditions usually keeps people away. When it comes to climates, warm conditions and a normal amount of rainfall are advantages that attract people.\nNatural resources are tings that we get from nature that help us survive. Each region offers different resources, and therefore attracts different groups of people. People who enjoy the beach can make their living by catching and selling the ocean's many fish and other sea creature. Those who prefer farming can take advantage of rich soil in valleys near rivers. Some people are willing to accept the disadvantages of the terrible conditions of deserts or mountains in order to take advantages of the resources like oil or woods.	The writer thinks many people don't live near the north or south pole because  _  .	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	3	reading_comprehension	1
Question 4/36	39594	os19_5_2_Adv	3	Adv	0	0|2|1|3	Respecting and encouraging cultural rights|Supporting Bolivia's efforts for exemption|Signing the convention in opposition to Bolivia's return|Objecting to UN decisions	"The British parliament has recommended that Bolivia's request should be backed by the UK government, arguing that it was important that countries remained within the single convention. Bolivia's re-accession could be blocked only if a third or more of the 184 countries that have signed up to the convention opposed its request. There are suspicions that the US and UK are frantically lobbying other countries to gain sufficient numbers to block Bolivia's request. Nancie Prud'homme, of the International Center on Human Rights and Drug Policy, criticized the co-ordinated opposition to Bolivia's demands. ""These objections are legally questionable,"" she said. ""They support an arbitrary and over-broad provision and apply international drug laws in a vacuum. This is not appropriate. There are established international norms on cultural and indigenous rights, so we should support Bolivia's efforts."""	What does Nancie Prud'homme say is the norm across the globe?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	4	reading_comprehension	1
Question 5/36	37902	os13_4_3_Adv	4	Adv	0	0|2|3|1	Treatment programs for alcohol-related issues|Support programs for violence victims|Reform programs for reoffenders unwilling to change|Programs allowing prisoners to get high school degrees	"One strong reason for the drop in prison numbers might be the amount of post-prison support available in Sweden. A confident probation service - a government agency - is tasked not only with supervising those on probation but is also guaranteed to provide treatment programs for offenders with drug, alcohol or violence issues. The service is assisted by around 4,500 lay supervisors - members of the public who volunteer to befriend and support offenders under supervision. ""In Sweden, we believe very much in the concept of rehabilitation, without being naive of course,"" says Gustafsson. ""There are some people who will not or cannot change. But, in my experience, the majority of prisoners want to change, and we must do what we can to help to facilitate that. It is not always possible to achieve this in one prison sentence."""	What kind of programs are run by the Swedish government?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	5	reading_comprehension	1
Question 6/36	20176	os9_3_2_Adv	5	Adv	0	3|0|2|1	They report on light to the part of the brain in charge of sleep rhythms|They receive reports from the brain on how to process light|They indirectly stabilize people's heartbeats|They filter out artificial light from reaching the brain	"He says it's not as simple as persuading teenagers to go to bed earlier. ""The body's natural rhythm is controlled by a particular kind of light,"" says Kelley. ""The eye doesn't just contain rods and cones; it contains cells that then report to the suprachiasmatic nuclei in the hypothalamus."" This part of the brain controls our circadian rhythms over a 24-hour cycle. It's like saying: 'Why can't you control your heartbeat?'"""	What is one role of eye cells in humans?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	6	reading_comprehension	1
Question 7/36	11963	os9_1_3_Ele	6	Ele	0	0|2|1|3	It is not ideal for students' health|It can be detrimental to students with pre-existing health problems such as diabetes and depression|It works with students' natural sleep rhythms|It is too early for both students and teachers	Many of us know we don't get enough sleep, but imagine if there was a simple solution: getting up later. In a speech at the British Science Festival, Dr. Paul Kelley from Oxford University said schools should stagger their starting times to work with the natural rhythms of their students. This would improve exam results and students' health (lack of sleep can cause diabetes, depression, obesity and other health problems).	What does Dr. Kelley suggest about the current starting time for schools?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	7	reading_comprehension	1
Question 8/36	27241	os19_3_2_Ele	7	Ele	0	2|1|3|0	Increased coca production and cocaine trade|Greater difficulty in controlling coca leaves trade|Current international drug control laws|The drug trade straining international diplomacy	"But the UN's International Narcotics Control Board (INCB), which checks global drug agreements, says Bolivia may harm international drug controls. Many countries - including the UK, the US, Italy, Sweden, the Netherlands and Russia - do not want to give Bolivia what it is asking for. The UK told the UN that it ""respects the cultural importance of the coca leaf in Bolivia,"" but it adds: ""The United Kingdom is worried that the exemption could lead to more coca production and - most importantly - more coca reaching the cocaine trade. The exemption would make it more difficult to control the illegal drugs trade."""	What is the UK worried about?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	8	reading_comprehension	1
Question 9/36	21744	os1_4_3_Ele	8	Ele	0	0|2|3|1	Not all roads have been thoroughly scanned yet|Even the best currently-possible road scans are not of high enough quality to make these cars safe|Driverless cars are restricted by law to about 2,000 of California's 170,000 miles of road|Pushback from traditional car companies	There need to be detailed scans of the roads before the cars can drive on them, because they cannot collect and process enough information in real time. So far, there are detailed maps of about 2,000 miles of California's roads, but California has more than 170,000 miles of roads. Google says it wants to license the technology to traditional car makers when they have improved it.	Why can't the driverless cars currently drive on all roads?	Onestop	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	9	reading_comprehension	1
Question 10/36	26225	r7992_3_Middle	9	Middle	0	1|2|3|0	do enough sport every day|do a few minutes of sport|never do any sports|All of the above.	Many middle school students like watching TV very much. But from Monday to Friday, they must go to school. So on Saturday and Sunday they stay at home and watch TV from morning to night. They don't know it's bad for their eyes. Usually children like to eat fish, meat and chicken and don't like vegetables or fruit. They don't know eating more vegetables or fruit. They don't know eating more vegetables and fruit is better than eating meat.\nAt school, the children only do a few minutes of sports or never do any sports. The teachers must know it isn't good for their health.\nWe always think of ways to keep healthy. We must eat more vegetables and fruit, do enough sport every day. And we should watch TV and read in right ways.	At school, the students should  _  .	RACE	Wed Oct 30 2019 16:17:49 GMT-0400 (Eastern Daylight Time)	1572470000000.0	10	reading_comprehension	1
